nodes
1,1050.0,516.0
2,1050.0,575.0
3,1051.0,636.0
4,1050.0,695.0
5,1050.0,755.0
6,1050.0,814.0
7,1050.0,874.0
8,1121.0,539.0
9,1155.0,536.0
10,1154.0,475.0
11,1155.0,437.0
12,1258.0,475.0
13,1290.0,474.0
14,1319.0,474.0
15,1351.0,473.0
16,1383.0,473.0
17,1416.0,475.0
18,1449.0,474.0
19,1480.0,473.0
20,1512.0,474.0
21,1254.0,491.0
22,1287.0,491.0
23,1320.0,491.0
24,1351.0,493.0
25,1384.0,492.0
26,1416.0,491.0
27,1448.0,491.0
28,1480.0,491.0
29,1514.0,491.0
30,1254.0,457.0
31,1288.0,457.0
32,1319.0,457.0
33,1352.0,458.0
34,1384.0,456.0
35,1416.0,458.0
36,1448.0,457.0
37,1154.0,569.0
38,1154.0,598.0
39,1153.0,633.0
40,1172.0,570.0
41,1172.0,600.0
42,1172.0,633.0
43,1133.0,607.0
44,1131.0,655.0
45,1131.0,706.0
46,1132.0,757.0
47,1130.0,806.0
48,1129.0,855.0
49,1098.0,620.0
50,1097.0,691.0
51,1096.0,773.0
52,1096.0,839.0
53,1154.0,685.0
54,1153.0,774.0
55,1152.0,822.0
56,1220.0,821.0
57,1286.0,819.0
58,1354.0,821.0
59,1407.0,820.0
60,996.0,543.0
61,996.0,625.0
62,995.0,690.0
63,995.0,772.0
64,996.0,839.0
65,1423.0,848.0
66,1429.0,773.0
67,1425.0,754.0
68,1204.0,789.0
69,1225.0,840.0
70,1258.0,840.0
71,1289.0,840.0
72,1323.0,841.0
73,1154.0,951.0
74,1011.0,918.0
75,1080.0,917.0
76,1401.0,839.0
